,lat,lon,name
215,49.2734,-122.7884457,Freshii
216,49.2759195,-123.1245551,Nuba
217,49.3359055,-123.0376105,Pizza Hut
218,49.2637937,-123.1399831,Freshii
219,49.0330673,-123.0692551,Browns Socialhouse
220,49.0311535,-123.0691973,Pizza Hut
221,49.133789,-122.8406633,Pizza Hut
222,49.135356,-122.8430621,Panago Pizza
223,49.1381113,-122.8449545,Boston Pizza
224,49.0268333,-122.2660017,The Pantry
225,49.2638501,-123.1448497,Denny's
226,49.049511,-122.2950498,Zaika Tastes of India
227,49.1859102,-122.7987909,Barcelos
228,49.282833,-123.1154195,Peaceful Restaurant
229,49.2688121,-123.0448771,Thai Son Restaurant
230,49.0585182,-122.3788725,Freshii
231,49.1051552,-122.8057256,Mahek Restaurant & Lounge
232,49.1057505,-122.8021287,White Spot
233,49.1857185,-122.7997834,Bubble World
234,49.1869381,-122.8000621,Pizza Hut
235,49.1869046,-122.8005383,Earls
236,49.124381,-122.7052164,Village Sushi
237,49.1078659,-122.6596014,Pho Tau Bay
238,49.0908788,-123.0833668,Pizza Hut
239,49.2572846,-123.1269819,De Dutch
240,49.2202174,-122.6568995,De Dutch Pannekoek House
241,49.2201784,-122.6577511,Big Star Sandwich Co.
242,49.2853939,-123.1114016,Rogue Kitchen & Wetbar
243,49.263427,-123.1396262,Cactus Club Cafe
244,49.0502826,-122.3175498,Nando's
245,49.1121157,-122.6506343,Cora
246,49.1097163,-122.6789018,IHOP
247,49.1172095,-122.6795523,Pasta Polo
248,49.1170227,-122.6751086,Denny's
249,49.1188311,-122.6788097,Townhall Public House
250,49.287548,-123.1210389,Heritage Asian Eatery
251,49.2869324,-123.1246607,Freshii
252,49.279771,-123.1299269,Joe's Grill
253,49.0419035,-123.0853223,Nando's
254,49.035275,-123.0884974,Boston Pizza
255,49.0351515,-123.088867,Milestones
256,49.035036,-123.0876345,Montana's
257,49.2534148,-122.7397591,Chopped Leaf
258,49.2563016,-122.7482111,Boston Pizza
259,49.1732885,-123.1465196,Dinesty Dumpling House
260,49.1898359,-122.7991897,Sushi California
261,49.2482354,-123.1009003,Boiling Point
262,49.263094,-123.1168038,Hokkaido Ramen Santouka
263,49.3200814,-123.0702446,Nando's
264,49.1582411,-122.7820519,Boston Pizza
265,49.1611807,-122.8913021,Pho 99
266,49.187425,-123.1241112,Manzo Japanese Restaurant
267,49.1785695,-123.1258748,Liuyishou Hotpot
268,49.1776609,-123.1355664,Icy Bar
269,49.2646355,-123.1150768,Pepper Lunch
270,49.2630818,-123.1264173,Johnny Rockets
271,49.2701295,-123.0694291,La Mezcaleria
272,49.1576414,-122.8907428,Denny's
273,49.2643482,-123.177229,Thai Basil
274,49.2642078,-123.1686252,Pho Japolo
275,49.255977,-123.18492,Kuma
276,49.2887053,-123.130825,The Captain's Boil
277,49.2886307,-123.1306655,Ramen Koika
278,49.0900523,-122.6044165,Nikko Sushi
279,49.3234388,-123.0726186,Zeitoon
280,49.2669012,-123.0057206,Browns Socialhouse
281,49.2059041,-123.0111841,Freshii
282,49.2059228,-123.029877,Sushi Mura
283,49.116251,-122.6703778,Chopped Leaf
284,49.2292462,-123.0012819,China Lan Lanzhou Beef Noodle
285,49.2794927,-123.1143598,Triple O’s
286,49.2681608,-123.1464018,Ramen Danbo
287,49.2631692,-123.1205957,Pacific Poke
288,49.3391722,-123.1039532,Bufala
289,49.2584314,-123.0306853,Boston Pizza
290,49.2809296,-123.0154316,Sopra Sotto
291,49.2279689,-123.0908789,Indochine Kitchen + Bar
292,49.269374,-123.1040814,Hon's Wonton House
293,49.3277186,-123.1541273,Heirloom
294,49.3273747,-123.1542843,Earls
295,49.0492389,-122.3012634,De Dutch Pannekoek House
296,49.2746568,-122.7909967,Cora
297,49.0415627,-122.2777811,The Keg Steakhouse + Bar
298,49.1633285,-123.1363369,Memory Corner
299,49.0479657,-122.3389997,J's Pizza
300,49.2914917,-123.1352004,Pacific Poke
301,49.264355,-123.176937,Colony
302,49.1321183,-123.0949806,Pho 37
303,49.183765,-122.8022751,Browns Social House
304,49.1781221,-123.1226759,Happy Day Cafe
305,49.2276704,-123.0033251,Cactus Club Cafe
306,49.2244988,-122.9879749,Boiling Point
307,49.2756694,-122.7944127,Boston Pizza
308,49.2758814,-122.7909785,Pizza Hut
309,49.1047611,-122.6609055,Pizza Factory
310,49.1856845,-123.1294413,Pearl Castle Cafe
311,49.2005315,-122.9182651,Boston Pizza
312,49.2738174,-122.7924448,Nando's
313,49.2680789,-123.1573053,Browns Social House
314,49.2637211,-123.1347841,Boston Pizza
315,49.0581186,-122.3805304,Memphis Blues BBQ House
316,49.0504976,-122.326893,Original Joe's Restaurant & Bar
317,49.2315009,-123.005591,Pearl Castle Cafe
318,49.2291311,-123.0008684,Sushi Garden
319,49.1294146,-122.3186475,White Spot
320,49.0444502,-122.2217322,Chopped Leaf
321,49.1916811,-122.8233993,Phở Hòa
322,49.2485254,-123.1256302,Osaka Sushi
323,49.3242115,-123.1039789,Boston Pizza
324,49.2826581,-122.8253857,Vera's Burger Shack
325,49.2823076,-122.8261405,FreshSlice Pizza
326,49.0416362,-123.0830145,De Dutch
327,49.1763527,-123.1318255,Earl's
328,49.2631506,-123.1216282,Meat & Bread
329,49.249426,-122.8923971,Sushi California
330,49.2882184,-123.1265091,TurF
331,49.2506156,-123.1011955,Sushi Mania
332,49.2819039,-122.8008628,Copa Cafe
333,49.0902825,-123.0845074,Sapporo Kitchen
334,49.2819109,-123.1135011,White Spot
335,49.1194864,-122.664838,Big Star Sandwich Co.
336,49.2802104,-123.1311973,Denny's
337,49.1586386,-122.7799669,Salty's Fish & Chips
338,49.1583928,-122.7802234,Pizza Hut
339,49.2811182,-123.0728439,Yolks
340,49.2753733,-123.0692541,The Reef
341,49.2876624,-123.1155926,Rogue Kitchen & Wetbar
342,49.2815936,-123.1237542,Earl's
343,49.2509194,-122.8926149,Kokoro Tokyo Mazesoba
344,49.1844834,-123.1283585,L'OTUS Cake Boutique
345,49.1849382,-123.129882,Sushi House
346,49.281185,-123.1322275,Neptune Chinese Kitchen
347,49.2596044,-123.0019382,The Keg
348,49.2192936,-122.9273351,Pizza Factory
349,49.1876258,-122.8459699,White Spot
350,49.1654248,-122.6646457,Chopped Leaf
351,49.0505874,-122.324938,Chopped Leaf
352,49.219668,-122.6557491,Chopped Leaf
353,49.286882,-123.1420929,Milestones
354,49.0255218,-123.0675202,Chopped Leaf
355,49.254363,-123.2362315,Chef Hung Taiwanese Beef Noodle
356,49.0502823,-122.3260169,Wok Box
357,49.233313,-123.1173462,White Spot
358,49.2787696,-122.7976283,Togo Sushi
